Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Pang B., Lee L.",Opinion mining and sentiment analysis,2008,Foundations and Trends in Information Retrieval,3002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-48449095896&doi=10.1561%2f1500000001&partnerID=40&md5=54b66b50773425af427849e2981ef533,"An important part of our information-gathering behavior has always been to find out what other people think. With the growing availability and popularity of opinion-rich resources such as online review sites and personal blogs, new opportunities and challenges arise as people now can, and do, actively use information technologies to seek out and understand the opinions of others. The sudden eruption of activity in the area, of opinion mining and sentiment analysis, which deals with the computational treatment of opinion, sentiment, and subjectivity in text, has thus occurred at least in part as a direct response to the surge of interest in new systems that deal directly with opinions as a first-class object. This survey covers techniques and approaches that promise to directly enable opinion-oriented information-seeking systems. Our focus is on methods that seek to address the new challenges raised by sentiment-aware applications, as compared to those that are already present in more traditional fact-based analysis. We include material on summarization of evaluative text and on broader issues regarding privacy, manipulation, and economic impact that the development of opinion-oriented information-access services gives rise to. To facilitate future work, a discussion of available resources, benchmark datasets, and evaluation campaigns is also provided.",,Mining; Benchmark datasets; Direct response; Economic impacts; Future work; Information-seeking; New opportunities; On methods; Opinion mining; Sentiment analysis; Benchmarking,2-s2.0-48449095896
"Bollen J., Mao H., Zeng X.",Twitter mood predicts the stock market,2011,Journal of Computational Science,1222,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953102821&doi=10.1016%2fj.jocs.2010.12.007&partnerID=40&md5=9f9bb731653f6a8b429c71b690d8ba07,"Behavioral economics tells us that emotions can profoundly affect individual behavior and decision-making. Does this also apply to societies at large, i.e. can societies experience mood states that affect their collective decision making? By extension is the public mood correlated or even predictive of economic indicators? Here we investigate whether measurements of collective mood states derived from large-scale Twitter feeds are correlated to the value of the Dow Jones Industrial Average (DJIA) over time. We analyze the text content of daily Twitter feeds by two mood tracking tools, namely OpinionFinder that measures positive vs. negative mood and Google-Profile of Mood States (GPOMS) that measures mood in terms of 6 dimensions (Calm, Alert, Sure, Vital, Kind, and Happy). We cross-validate the resulting mood time series by comparing their ability to detect the public's response to the presidential election and Thanksgiving day in 2008. A Granger causality analysis and a Self-Organizing Fuzzy Neural Network are then used to investigate the hypothesis that public mood states, as measured by the OpinionFinder and GPOMS mood time series, are predictive of changes in DJIA closing values. Our results indicate that the accuracy of DJIA predictions can be significantly improved by the inclusion of specific public mood dimensions but not others. We find an accuracy of 86.7% in predicting the daily up and down changes in the closing values of the DJIA and a reduction of the Mean Average Percentage Error (MAPE) by more than 6%. © 2011 Elsevier B.V.",Collective mood; Sentiment tracking; Social networks; Stock market,Behavioral economics; Collective decision making; Collective mood; Dow Jones Industrial averages; Economic indicators; Granger Causality; Individual behavior; Percentage error; Presidential election; Profile of mood state; Public mood; Self-organizing fuzzy neural network; Sentiment tracking; Social Networks; Stock market; Text content; Commerce; Decision making; Finance; Fuzzy neural networks; Social networking (online); Time series; Time series analysis; Economics,2-s2.0-79953102821
"Wilson T., Wiebe J., Hoffmann P.",Recognizing contextual polarity in phrase-level sentiment analysis,2005,"HLT/EMNLP 2005 - Human Language Technology Conference and Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",1162,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053247760&partnerID=40&md5=ffc748bef126e78c7b71efdef07ea6ad,"This paper presents a new approach to phrase-level sentiment analysis that first determines whether an expression is neutral or polar and then disambiguates the polarity of the polar expressions. With this approach, the system is able to automatically identify the contextual polarity for a large subset of sentiment expressions, achieving results that are significantly better than baseline. © 2005 Association for Computational Linguistics.",,Sentiment analysis; Computational linguistics; Data mining; Natural language processing systems,2-s2.0-80053247760
"Tumasjan A., Sprenger T.O., Sandner P.G., Welpe I.M.",Predicting elections with Twitter: What 140 characters reveal about political sentiment,2010,ICWSM 2010 - Proceedings of the 4th International AAAI Conference on Weblogs and Social Media,844,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890668120&partnerID=40&md5=88ec7eead2918c31e33e642ca064d3e8,"Twitter is a microblogging website where users read and write millions of short messages on a variety of topics every day. This study uses the context of the German federal election to investigate whether Twitter is used as a forum for political deliberation and whether online messages on Twitter validly mirror offline political sentiment. Using LIWC text analysis software, we conducted a contentanalysis of over 100,000 messages containing a reference to either a political party or a politician. Our results show that Twitter is indeed used extensively for political deliberation. We find that the mere number of messages mentioning a party reflects the election result. Moreover, joint mentions of two parties are in line with real world political ties and coalitions. An analysis of the tweets' political sentiment demonstrates close correspondence to the parties' and politicians' political positions indicating that the content of Twitter messages plausibly reflects the offline political landscape. We discuss the use of microblogging message content as a valid indicator of political sentiment and derive suggestions for further research. Copyright © 2010, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,Content analysis; German Federal Elections; Microblogging; Offline; Political parties; Short message; Text analysis; Social networking (online); Social sciences,2-s2.0-84890668120
"Taboada M., Brooke J., Tofiloski M., Voll K., Stede M.",Lexicon-basedmethods for sentiment analysis,2011,Computational Linguistics,623,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958257877&doi=10.1162%2fCOLI_a_00049&partnerID=40&md5=1a3da9caef08c49f971e4ef5dbc99dfa,"We present a lexicon-based approach to extracting sentiment from text. The Semantic Orientation CALculator (SO-CAL) uses dictionaries of words annotated with their semantic orientation (polarity and strength), and incorporates intensification and negation. SO-CAL is applied to the polarity classification task, the process of assigning a positive or negative label to a text that captures the text's opinion towards its main subjectmatter.We show that SO-CAL's performance is consistent across domains and on completely unseen data. Additionally, we describe the process of dictionary creation, and our use of Mechanical Turk to check dictionaries for consistency and reliability. © 2011 Association for Computational Linguistics.",,,2-s2.0-79958257877
"Pang B., Lee L.",Seeing stars: Exploiting class relationships for sentiment categorization with respect to rating scales,2005,"ACL-05 - 43rd Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference",576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859895244&partnerID=40&md5=ad0a999b1a746a5ebfdd039844757330,"We address the rating-inference problem, wherein rather than simply decide whether a review is .thumbs up. or .thumbs down., as in previous sentiment analysis work, one must determine an author's evaluation with respect to a multi-point scale (e.g., one to five .stars.). This task represents an interesting twist on standard multi-class text categorization because there are several different degrees of similarity between class labels; for example, .three stars. is intuitively closer to .four stars. than to .one star.. We first evaluate human performance at the task. Then, we apply a metaalgorithm, based on a metric labeling formulation of the problem, that alters a given n-ary classifier's output in an explicit attempt to ensure that similar items receive similar labels. We show that the meta-algorithm can provide significant improvements over both multi-class and regression versions of SVMs when we employ a novel similarity measure appropriate to the problem. © 2005 Association for Computational Linguistics.",,Class labels; Class relationship; Human performance; Metric labeling; Multi-class; Rating scale; Sentiment analysis; Similarity measure; Text categorization; Computational linguistics; Rating; Text processing; Stars,2-s2.0-84859895244
"Ding X., Liu B., Yu P.S.",A holistic lexicon-based approach to opinion mining,2008,WSDM'08 - Proceedings of the 2008 International Conference on Web Search and Data Mining,516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42549170653&doi=10.1145%2f1341531.1341561&partnerID=40&md5=42e71b9a1b32b635c0ec02ac8564af24,"One of the important types of information on the Web is the opinions expressed in the user generated content, e.g., customer reviews of products, forum posts, and blogs. In this paper, we focus on customer reviews of products. In particular, we study the problem of determining the semantic orientations (positive, negative or neutral) of opinions expressed on product features in reviews. This problem has many applications, e.g., opinion mining, summarization and search. Most existing techniques utilize a list of opinion (bearing) words (also called opinion lexicon) for the purpose. Opinion words are words that express desirable (e.g., great, amazing, etc.) or undesirable (e.g., bad, poor, etc) states. These approaches, however, all have some major shortcomings. In this paper, we propose a holistic lexicon-based approach to solving the problem by exploiting external evidences and linguistic conventions of natural language expressions. This approach allows the system to handle opinion words that are context dependent, which cause major difficulties for existing algorithms. It also deals with many special words, phrases and language constructs which have impacts on opinions based on their linguistic patterns. It also has an effective function for aggregating multiple conflicting opinion words in a sentence. A system, called Opinion Observer, based on the proposed technique has been implemented. Experimental results using a benchmark product review data set and some additional reviews show that the proposed technique is highly effective. It outperforms existing methods significantly. © 2008 ACM.",Context dependent opinions; Opinion mining; Sentiment analysis,Blogs; Context dependent opinions; Opinion mining; Sentiment analysis; Customer satisfaction; Problem solving; Search engines; Semantics; User interfaces; World Wide Web; Data mining,2-s2.0-42549170653
"Chew C., Eysenbach G.",Pandemics in the age of Twitter: Content analysis of tweets during the 2009 H1N1 outbreak,2010,PLoS ONE,405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649725192&doi=10.1371%2fjournal.pone.0014118&partnerID=40&md5=c917dfda092eb2d31841629d20a5b094,"Background: Surveys are popular methods to measure public perceptions in emergencies but can be costly and time consuming. We suggest and evaluate a complementary ""infoveillance"" approach using Twitter during the 2009 H1N1 pandemic. Our study aimed to: 1) monitor the use of the terms ""H1N1"" versus ""swine flu"" over time; 2) conduct a content analysis of ""tweets""; and 3) validate Twitter as a real-time content, sentiment, and public attention trend-tracking tool. Methodology/Principal Findings: Between May 1 and December 31, 2009, we archived over 2 million Twitter posts containing keywords ""swine flu,"" ""swineflu,"" and/or ""H1N1."" using Infovigil, an infoveillance system. Tweets using ""H1N1"" increased from 8.8% to 40.5% (R2 =.788; p&lt;.001), indicating a gradual adoption of World Health Organizationrecommended terminology. 5,395 tweets were randomly selected from 9 days, 4 weeks apart and coded using a tri-axial coding scheme. To track tweet content and to test the feasibility of automated coding, we created database queries for keywords and correlated these results with manual coding. Content analysis indicated resource-related posts were most commonly shared (52.6%). 4.5% of cases were identified as misinformation. News websites were the most popular sources (23.2%), while government and health agencies were linked only 1.5% of the time. 7/10 automated queries correlated with manual coding. Several Twitter activity peaks coincided with major news stories. Our results correlated well with H1N1 incidence data. Conclusions: This study illustrates the potential of using social media to conduct ""infodemiology"" studies for public health. 2009 H1N1-related tweets were primarily used to disseminate information from credible sources, but were also a source of opinions and experiences. Tweets can be used for real-time content analysis and knowledge translation research, allowing health authorities to respond to public concerns. © 2010 Chew et al.",,"accuracy; article; automation; coding; content analysis; emoticon; epidemic; facial expression; frustration; human; humor; incidence; influenza A (H1N1); information dissemination; Internet; nomenclature; pandemic influenza; personal experience; social network; trend study; Twitter; influenza; Influenza virus A H1N1; mass medium; pandemic; statistics; Suidae; Clinical Coding; Communications Media; Humans; Influenza A Virus, H1N1 Subtype; Influenza, Human; Pandemics; Terminology as Topic",2-s2.0-78649725192
"Abbasi A., Chen H., Salem A.",Sentiment analysis in multiple languages: Feature selection for opinion classification in Web forums,2008,ACM Transactions on Information Systems,388,https://www.scopus.com/inward/record.uri?eid=2-s2.0-46249095180&doi=10.1145%2f1361684.1361685&partnerID=40&md5=b3bd639af6ee86ebd91fe53a59a16846,"The Internet is frequently used as a medium for exchange of information and opinions, as well as propaganda dissemination. In this study the use of sentiment analysis methodologies is proposed for classification of Web forum opinions in multiple languages. The utility of stylistic and syntactic features is evaluated for sentiment classification of English and Arabic content. Specific feature extraction components are integrated to account for the linguistic characteristics of Arabic. The entropy weighted genetic algorithm (EWGA) is also developed, which is a hybridized genetic algorithm that incorporates the information-gain heuristic for feature selection. EWGA is designed to improve performance and get a better assessment of key features. The proposed features and techniques are evaluated on a benchmark movie review dataset and U.S. and Middle Eastern Web forum postings. The experimental results using EWGA with SVM indicate high performance levels, with accuracies of over 91% on the benchmark dataset as well as the U.S. and Middle Eastern forums. Stylistic features significantly enhanced performance across all testbeds while EWGA also outperformed other feature selection methods, indicating the utility of these features and techniques for document-level classification of sentiments. © 2008 ACM.",Feature selection; Opinion mining; Sentiment analysis; Text classification,Benchmark dataset; Data sets; Enhanced performance; Exchange of information; Experimental results; Feature selection (FS); Feature selection methods; High performance; Hybridized genetic algorithm; movie review; Multiple languages; Sentiment analysis; Sentiment classification; Syntactic features; Test-beds; Web Forums; Web forums; Algorithms; Boolean functions; Classification (of information); Extraction; Genetic algorithms; Heuristic algorithms; Heuristic programming; Information dissemination; Information retrieval systems; Learning systems; Linguistics; Feature extraction,2-s2.0-46249095180
"Mei Q., Ling X., Wondra M., Su H., Zhai C.",Topic sentiment mixture: Modeling facets and opinions in weblogs,2007,"16th International World Wide Web Conference, WWW2007",381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35348882767&doi=10.1145%2f1242572.1242596&partnerID=40&md5=f4eb46138de1962613078ee547d2083b,"In this paper, we define the problem of topic-sentiment analysis on Weblogs and propose a novel probabilistic model to capture the mixture of topics and sentiments simultaneously. The proposed Topic-Sentiment Mixture (TSM) model can reveal the latent topical facets in a Weblog collection, the subtopics in the results of an ad hoc query, and their associated sentiments. It could also provide general sentiment models that are applicable to any ad hoc topics. With a specifically designed HMM structure, the sentiment models and topic models estimated with TSM can be utilized to extract topic life cycles and sentiment dynamics. Empirical experiments on different Weblog datasets show that this approach is effective for modeling the topic facets and sentiments and extracting their dynamics from Weblog collections. The TSM model is quite general; it can be applied to any text collections with a mixture of topics and sentiments, thus has many potential applications, such as search result summarization, opinion tracking, and user behavior prediction.",Mixture model; Sentiment analysis; Topic models; Topic-sentiment mixture; Weblogs,Mixture models; Sentiment analysis; Topic sentiment mixture; Weblogs; Ad hoc networks; Probabilistic logics; Problem solving; Query languages; Websites,2-s2.0-35348882767
